song_key,title,artist,Brazil,France,Germany,India,Indonesia,Japan,Korea,Malaysia,Overall,Singapore,South Africa,Taiwan,Thailand,United Kingdom,United States,appear_country_count,tie_up_type
東京フラッシュ / Vaundy,東京フラッシュ,Vaundy,,,,,,,41.0,,,,,94.0,100.0,,,3,None
一緒なら / 照井順政,一緒なら,照井順政,,,,,,,,,,,67.0,,,75.0,56.0,3,None
私は最強 (ウタ from ONE PIECE FILM RED) / Ado,私は最強 (ウタ from ONE PIECE FILM RED),Ado,,96.0,88.0,,,,86.0,,,,,,,,,3,Movie
最高到達点 / SEKAI NO OWARI,最高到達点,SEKAI NO OWARI,,73.0,,89.0,,39.0,,,,,,,,,,3,Anime
Last Surprise / Lyn,Last Surprise,Lyn,95.0,,,,,,,,,,,,,57.0,67.0,3,Game
LADY / 米津玄師,LADY,米津玄師,,,,68.0,,,7.0,,70.0,,,,,,,3,None
W●RK / millennium parade × 椎名林檎,W●RK,millennium parade × 椎名林檎,,70.0,79.0,,,,,,,,78.0,,,,,3,None
Lady Brown / Nujabes,Lady Brown,Nujabes,,99.0,,,,,,,,,,,,48.0,87.0,3,None
熱情のスペクトラム / いきものがかり,熱情のスペクトラム,いきものがかり,47.0,49.0,95.0,,,,,,,,,,,,,3,Anime
You Say Run / 林ゆうき,You Say Run,林ゆうき,,45.0,,,,,,,,,73.0,,,64.0,,3,Anime
第ゼロ感 / 10-FEET,第ゼロ感,10-FEET,,,,,,48.0,84.0,,,,,,,,,2,Movie
FLY HIGH!! / BURNOUT SYNDROMES,FLY HIGH!!,BURNOUT SYNDROMES,,,99.0,78.0,,,,,,,,,,,,2,Anime
Red Swan / YOSHIKI feat.HYDE,Red Swan,YOSHIKI feat.HYDE,,,,,,,,,,,,,,79.0,88.0,2,Anime
CRY FOR ME feat. 愛海 / Michita,CRY FOR ME feat. 愛海,Michita,,,,,,,,41.0,,,,65.0,,,,2,None
ホタルノヒカリ / いきものがかり,ホタルノヒカリ,いきものがかり,73.0,89.0,,,,,,,,,,,,,,2,Anime
燈 / 崎山蒼志,燈,崎山蒼志,,,,61.0,,,,,,,,,69.0,,,2,Anime
地球儀 / 米津玄師,地球儀,米津玄師,,,,,,,45.0,,,,,76.0,,,,2,Movie
Plazma / 米津玄師,Plazma,米津玄師,,,,,,67.0,,,,,,100.0,,,,2,None
グランドエスケープ feat. 三浦透子 / RADWIMPS,グランドエスケープ feat. 三浦透子,RADWIMPS,,,,58.0,68.0,,,,,,,,,,,2,Movie
PA PA YA!! (feat. F.HERO) / BABYMETAL,PA PA YA!! (feat. F.HERO),BABYMETAL,99.0,,66.0,,,,,,,,,,,,,2,None
LOSER / 米津玄師,LOSER,米津玄師,,,,,,,69.0,,,,,52.0,,,,2,None
絶対零度 / なとり,絶対零度,なとり,,,90.0,,,,,,,,,,52.0,,,2,None
Find Your Flame (feat. Kellin Quinn & Tyler Smyth) / 大谷智哉,Find Your Flame (feat. Kellin Quinn & Tyler Smyth),大谷智哉,,,,,,,,,,,,,,86.0,86.0,2,Game
花に亡霊 / ヨルシカ,花に亡霊,ヨルシカ,,,,,,,75.0,,,,,61.0,,,,2,None
INERTIA / SawanoHiroyuki[nZk]:Rei,INERTIA,SawanoHiroyuki[nZk]:Rei,,,72.0,,,,,,,,91.0,,,,,2,Anime
MILLION PLACES / XG,MILLION PLACES,XG,,,,,42.0,,,59.0,,,,,,,,2,None
GO!!! / FLOW,GO!!!,FLOW,64.0,,,,67.0,,,,,,,,,,,2,Anime
可愛くてごめん feat. ちゅーたん(早見沙織) / HoneyWorks,可愛くてごめん feat. ちゅーたん(早見沙織),HoneyWorks,,,,88.0,,,,,,95.0,,,,,,2,Anime
ダンスホール / Mrs.GREEN APPLE,ダンスホール,Mrs.GREEN APPLE,,,,,,11.0,44.0,,,,,,,,,2,None
フィナーレ。 / eill,フィナーレ。,eill,,,,,,,14.0,,,,,99.0,,,,2,None
ミックスナッツ / Official髭男dism,ミックスナッツ,Official髭男dism,,,,,,69.0,92.0,,,,,,,,,2,Anime
Number One - Bankai (feat.Hazel Fernandes) / 鷺巣詩郎,Number One - Bankai (feat.Hazel Fernandes),鷺巣詩郎,,,,43.0,,,,,,,,,,87.0,,2,Anime
OH! TENGO SUERTE / 高中正義,OH! TENGO SUERTE,高中正義,,,,,,,,,,,,,,81.0,93.0,2,None
オレンジ / 7!!,オレンジ,7!!,,,,,9.0,,,46.0,,,,,,,,2,Anime
THE DAY / ポルノグラフィティ,THE DAY,ポルノグラフィティ,93.0,81.0,,,,,,,,,,,,,,2,Anime
春を告げる / yama,春を告げる,yama,,,,96.0,,,35.0,,,,,,,,,2,None
「僕は...」 / あたらよ,「僕は...」,あたらよ,,,,,,,,,,,,22.0,95.0,,,2,None
春泥棒 / ヨルシカ,春泥棒,ヨルシカ,,,,,,,97.0,,,,,63.0,,,,2,None
attack ON titan <Vocal: MIKA KOBAYASHI> / 澤野弘之,attack ON titan <Vocal: MIKA KOBAYASHI>,澤野弘之,,66.0,87.0,,,,,,,,,,,,,2,Anime
aLIEz / SawanoHiroyuki[nZk],aLIEz,SawanoHiroyuki[nZk],,,,,,,,89.0,,,,62.0,,,,2,Anime
革命道中 / アイナ・ジ・エンド,革命道中,アイナ・ジ・エンド,,,64.0,,,,,,,,87.0,,,,,2,Anime
Watch me! / YOASOBI,Watch me!,YOASOBI,,,,,93.0,,,88.0,,,,,,,,2,None
青と夏 / Mrs.GREEN APPLE,青と夏,Mrs.GREEN APPLE,,,,,,9.0,58.0,,,,,,,,,2,Movie
W / X / Y / Tani Yuuki,W / X / Y,Tani Yuuki,,,,,,40.0,76.0,,,,,,,,,2,None
Undefeatable (feat. Kellin Quinn) / 大谷智哉,Undefeatable (feat. Kellin Quinn),大谷智哉,,,,,,,,,,,,,,35.0,38.0,2,Game
UNDER THE TREE / SiM,UNDER THE TREE,SiM,,,,,,,,,,,90.0,,,89.0,,2,Anime
Remember Summer Days / 杏里,Remember Summer Days,杏里,,,,,83.0,,,,,,,,,,83.0,2,None
もう少しだけ / YOASOBI,もう少しだけ,YOASOBI,,,,,,,,,,78.0,,79.0,,,,2,CM
Tank! / シートベルツ,Tank!,シートベルツ,,,,,,,,,,,,,,83.0,62.0,2,Anime
Subtitle / Official髭男dism,Subtitle,Official髭男dism,,,,,,17.0,85.0,,,,,,,,,2,TVドラマ
Stand Out Fit In / ONE OK ROCK,Stand Out Fit In,ONE OK ROCK,,,,,74.0,,,,,81.0,,,,,,2,Movie
ウタカタララバイ (ウタ from ONE PIECE FILM RED) / Ado,ウタカタララバイ (ウタ from ONE PIECE FILM RED),Ado,,82.0,75.0,,,,,,,,,,,,,2,Movie
Beneath The Mask / Lyn,Beneath The Mask,Lyn,,,,,,,,,,,,,,92.0,68.0,2,Game
アンコール / YOASOBI,アンコール,YOASOBI,,,,,,,,,,86.0,,69.0,,,,2,None
逆夢 / King Gnu,逆夢,King Gnu,,,,,,,34.0,,,,,87.0,,,,2,Anime
何なんw / 藤井風,何なんw,藤井風,,,,,,,,,,,,,64.0,,,1,None
青い珊瑚礁 / 松田聖子,青い珊瑚礁,松田聖子,,,,,,,18.0,,,,,,,,,1,None
青い、濃い、橙色の日 / MASS OF THE FERMENTING DREGS,青い、濃い、橙色の日,MASS OF THE FERMENTING DREGS,,,,,,,,,,,92.0,,,,,1,None
金木犀 / なとり,金木犀,なとり,,,,,,,,,,,,,90.0,,,1,None
光 / 宇多田ヒカル,光,宇多田ヒカル,,,,,,,,,,,,,,,46.0,1,Movie
花束 / back number,花束,back number,,,,,,45.0,,,,,,,,,,1,None
高嶺の花子さん / back number,高嶺の花子さん,back number,,,,,,19.0,,,,,,,,,,1,None
重てえ / 千葉雄喜,重てえ,千葉雄喜,,,,,,,,,,,64.0,,,,,1,None
美しい鰭 / スピッツ,美しい鰭,スピッツ,,,,,,47.0,,,,,,,,,,1,Movie
僕のこと / Mrs.GREEN APPLE,僕のこと,Mrs.GREEN APPLE,,,,,,21.0,,,,,,,,,,1,TV番組
透明だった世界 / 秦基博,透明だった世界,秦基博,88.0,,,,,,,,,,,,,,,1,Anime
鬼ノ宴 / 友成空,鬼ノ宴,友成空,,,,,,94.0,,,,,,,,,,1,None
君はロックを聴かない / あいみょん,君はロックを聴かない,あいみょん,,,,,,,23.0,,,,,,,,,1,None
旅路 / 藤井風,旅路,藤井風,,,,,,,,,,,,,76.0,,,1,TVドラマ
夏霞 / あたらよ,夏霞,あたらよ,,,,,,,,,,,,54.0,,,,1,None
点描の唄 feat.井上苑子 / Mrs.GREEN APPLE,点描の唄 feat.井上苑子,Mrs.GREEN APPLE,,,,,,13.0,,,,,,,,,,1,Movie
新しい恋人達に / back number,新しい恋人達に,back number,,,,,,56.0,,,,,,,,,,1,None
斜陽 / ヨルシカ,斜陽,ヨルシカ,,,,,,,,,,,,88.0,,,,1,Anime
未来へ / Kiroro,未来へ,Kiroro,,,,,,,,81.0,,,,,,,,1,None
森の小さなレストラン / 手嶌葵,森の小さなレストラン,手嶌葵,,,,54.0,,,,,,,,,,,,1,Movie
感電 / 米津玄師,感電,米津玄師,,,,,,,56.0,,,,,,,,,1,TVドラマ
残酷な夜に輝け / LiSA,残酷な夜に輝け,LiSA,,,,,,,,98.0,,,,,,,,1,Anime
悲しみをやさしさに / little by little,悲しみをやさしさに,little by little,,,,,99.0,,,,,,,,,,,1,Anime
水平線 / back number,水平線,back number,,,,,,16.0,,,,,,,,,,1,None
海の見える街 / 久石譲,海の見える街,久石譲,,87.0,,,,,,,,,,,,,,1,Movie
灰色と青(+ 菅田将暉) / 米津玄師,灰色と青(+ 菅田将暉),米津玄師,,,,,,,,,,,,89.0,,,,1,None
恋風邪にのせて / Vaundy,恋風邪にのせて,Vaundy,,,,,,,80.0,,,,,,,,,1,None
恋色 / もさを。,恋色,もさを。,,,,,37.0,,,,,,,,,,,1,None
恋人へ / Lamp,恋人へ,Lamp,,,,,,,,,,,,,,,96.0,1,None
恋だね / 久石譲,恋だね,久石譲,,,,,,,,,,,83.0,,,,,1,None
夢二のテーマ / 梅林茂,夢二のテーマ,梅林茂,,72.0,,,,,,,,,,,,,,1,Movie
恋するフォーチュンクッキー / AKB48,恋するフォーチュンクッキー,AKB48,,,,,,,,,,,,,78.0,,,1,None
恋 / 星野源,恋,星野源,,,,,,,64.0,,,,,,,,,1,TVドラマ
猿芝居 / なとり,猿芝居,なとり,,,,,,,,,,,,,55.0,,,1,None
忘れてください / ヨルシカ,忘れてください,ヨルシカ,,,,,,,,,,,,72.0,,,,1,None
星座になれたら / 結束バンド,星座になれたら,結束バンド,,,,,,,88.0,,,,,,,,,1,Anime
幾億光年 / Omoinotake,幾億光年,Omoinotake,,,,,,8.0,,,,,,,,,,1,Anime
帰ろう / 藤井風,帰ろう,藤井風,,,,,,,,,,,,,92.0,,,1,None
真っ白 / 藤井風,真っ白,藤井風,,,,,,,,74.0,,,,,,,,1,None
寄り酔い / 和ぬか,寄り酔い,和ぬか,,,,,,,,,,,,,39.0,,,1,None
宿命 / Official髭男dism,宿命,Official髭男dism,,,,,,,91.0,,,,,,,,,1,TV番組
知らないままで / ロクデナシ,知らないままで,ロクデナシ,,,,,,,,,,80.0,,,,,,1,None
奏(かなで) / スキマスイッチ,奏(かなで),スキマスイッチ,,,,,,95.0,,,,,,,,,,1,None
私は最強 / Mrs.GREEN APPLE,私は最強,Mrs.GREEN APPLE,,,,,,82.0,,,,,,,,,,1,Movie
115万キロのフィルム / Official髭男dism,115万キロのフィルム,Official髭男dism,,,,,,87.0,,,,,,,,,,1,Movie
オトナブルー / 新しい学校のリーダーズ,オトナブルー,新しい学校のリーダーズ,60.0,,,,,,,,,,,,,,,1,None
ロマンチシズム / Mrs.GREEN APPLE,ロマンチシズム,Mrs.GREEN APPLE,,,,,,64.0,,,,,,,,,,1,None
Life Will Change / Lyn,Life Will Change,Lyn,,,,,,,,,,,,,,97.0,,1,Game
Magic / Mrs.GREEN APPLE,Magic,Mrs.GREEN APPLE,,,,,,15.0,,,,,,,,,,1,None
Magnetic / ILLIT,Magnetic,ILLIT,,,,,,31.0,,,,,,,,,,1,None
Mela! / 緑黄色社会,Mela!,緑黄色社会,,,,,,,66.0,,,,,,,,,1,CM
Midnight Pretenders / 亜蘭知子,Midnight Pretenders,亜蘭知子,,,,,,,,,,,95.0,,,,,1,None
Moshi Moshi (feat. 百足) / Nozomi Kitay & GAL D,Moshi Moshi (feat. 百足),Nozomi Kitay & GAL D,,,,,,,,,,,,,79.0,,,1,None
NARUTO Main Theme / 六三四プロジェクト,NARUTO Main Theme,六三四プロジェクト,,,,64.0,,,,,,,,,,,,1,Anime
One Last Kiss / 宇多田ヒカル,One Last Kiss,宇多田ヒカル,,,,,,,,94.0,,,,,,,,1,Movie
PPAP(ペンパイナッポーアッポーペン) / ピコ太郎,PPAP(ペンパイナッポーアッポーペン),ピコ太郎,,,,92.0,,,,,,,,,,,,1,None
Perfect Night / LE SSERAFIM,Perfect Night,LE SSERAFIM,,,,,,57.0,,,,,,,,,,1,CM
ROSE / HANA,ROSE,HANA,,,,,,62.0,,,,,,,,,,1,None
Ref:rain / Aimer(エメ),Ref:rain,Aimer(エメ),,,,,,,,,,,,93.0,,,,1,Anime
Reiu / Daigo Hanada,Reiu,Daigo Hanada,,,100.0,,,,,,,,,,,,,1,None
Renegades / ONE OK ROCK,Renegades,ONE OK ROCK,,,,,57.0,,,,,,,,,,,1,Movie
Seven (feat. Latto) / Jung Kook,Seven (feat. Latto),Jung Kook,,,,,,42.0,,,,,,,,,,1,None
Smells Blood / 牛尾憲輔,Smells Blood,牛尾憲輔,,,,,,,,,,,76.0,,,,,1,Anime
Soranji / Mrs.GREEN APPLE,Soranji,Mrs.GREEN APPLE,,,,,,10.0,,,,,,,,,,1,Movie
StaRt / Mrs.GREEN APPLE,StaRt,Mrs.GREEN APPLE,,,,,,76.0,,,,,,,,,,1,None
Strange Things / DOUBLE,Strange Things,DOUBLE,,,,,,,,,,,99.0,,,,,1,None
TAIDADA / ずっと真夜中でいいのに。,TAIDADA,ずっと真夜中でいいのに。,,,,,,,,,,,,64.0,,,,1,None
Tropical Therapy / ONE OK ROCK,Tropical Therapy,ONE OK ROCK,,,,,62.0,,,,,,,,,,,1,None
WINTER WITHOUT YOU / XG,WINTER WITHOUT YOU,XG,,,,,,,,,,,,,88.0,,,1,None
Walking with you / Novelbright,Walking with you,Novelbright,,,,,,,60.0,,,,,,,,,1,None
We are / ONE OK ROCK,We are,ONE OK ROCK,,,,,100.0,,,,,,,,,,,1,None
Whiplash / aespa,Whiplash,aespa,,,,,,97.0,,,,,,,,,,1,None
Wind From Mountains (feat. Nailah Hunter) / Chihei Hatakeyama,Wind From Mountains (feat. Nailah Hunter),Chihei Hatakeyama,,,49.0,,,,,,,,,,,,,1,None
MUKANJYO / Survive Said The Prophet,MUKANJYO,Survive Said The Prophet,,93.0,,,,,,,,,,,,,,1,Anime
IN THE RAIN / XG,IN THE RAIN,XG,,,,,,,,61.0,,,,,,,,1,None
ロマンス / 鈴木弘,ロマンス,鈴木弘,,,,,,,,,,,74.0,,,,,1,None
I'm a mess / MY FIRST STORY,I'm a mess,MY FIRST STORY,,,,,,22.0,,,,,,,,,,1,None
ANTENNA / Mrs.GREEN APPLE,ANTENNA,Mrs.GREEN APPLE,,,,,,70.0,,,,,,,,,,1,None
APT. / ロゼ & ブルーノ・マーズ,APT.,ロゼ & ブルーノ・マーズ,,,,,,18.0,,,,,,,,,,1,None
Anytime Anywhere / milet,Anytime Anywhere,milet,,,,,,,,,,,,75.0,,,,1,Anime
Ashes on The Fire / KOHTA YAMAMOTO,Ashes on The Fire,KOHTA YAMAMOTO,,,,75.0,,,,,,,,,,,,1,Anime
Avid / SawanoHiroyuki[nZk]:mizuki,Avid,SawanoHiroyuki[nZk]:mizuki,,,,,,,,,,,,90.0,,,,1,Anime
Azalea / 米津玄師,Azalea,米津玄師,,,,,,,,,,,,82.0,,,,1,None
BON / Number_i,BON,Number_i,,,,,,83.0,,,,,,,,,,1,None
BOW AND ARROW / 米津玄師,BOW AND ARROW,米津玄師,,,,,,,,,,,,70.0,,,,1,None
Baby you / 有華,Baby you,有華,,,,19.0,,,,,,,,,,,,1,None
Bauklotze <Vocal: MIKA KOBAYASHI> / 澤野弘之,Bauklotze <Vocal: MIKA KOBAYASHI>,澤野弘之,,,94.0,,,,,,,,,,,,,1,Anime
Biri-Biri / YOASOBI,Biri-Biri,YOASOBI,,,,,,,,,,75.0,,,,,,1,None
Brave Shine / Aimer(エメ),Brave Shine,Aimer(エメ),,,,,,,,95.0,,,,,,,,1,Anime
Come Back To Me / Utada,Come Back To Me,Utada,,,,,,,,,,,,,51.0,,,1,None
Dear / Mrs.GREEN APPLE,Dear,Mrs.GREEN APPLE,,,,,,74.0,,,,,,,,,,1,None
Dearly Beloved / 下村陽子,Dearly Beloved,下村陽子,,,,,,,,,,,,,,,99.0,1,Game
Ditto / NewJeans,Ditto,NewJeans,,,,,,80.0,,,,,,,,,,1,None
Dive / ziproom,Dive,ziproom,,,,,,,,82.0,,,,,,,,1,None
FAIRY TAIL メインテーマ / 高梨康治,FAIRY TAIL メインテーマ,高梨康治,,52.0,,,,,,,,,,,,,,1,Anime
Frontiers / Awich,Frontiers,Awich,,,80.0,,,,,,,,,,,,,1,None
GOAT / Number_i,GOAT,Number_i,,,,,,35.0,,,,,,,,,,1,None
HAPPY BIRTHDAY / back number,HAPPY BIRTHDAY,back number,,,,,,75.0,,,,,,,,,,1,None
HEART BEAT / YOASOBI,HEART BEAT,YOASOBI,,,,,,,,,,99.0,,,,,,1,None
HUNTING FOR YOUR DREAM / GALNERYUS,HUNTING FOR YOUR DREAM,GALNERYUS,91.0,,,,,,,,,,,,,,,1,Anime
Heartache / ONE OK ROCK,Heartache,ONE OK ROCK,,,,,80.0,,,,,,,,,,,1,Movie
I wonder / Da-iCE,I wonder,Da-iCE,,,,,,23.0,,,,,,,,,,1,None
Workin' Hard / 藤井風,Workin' Hard,藤井風,,,,,,,,,,,,,94.0,,,1,None
damn / 藤井風,damn,藤井風,,,,,,,,,,,,,45.0,,,1,None
departure! / 小野正利,departure!,小野正利,,75.0,,,,,,,,,,,,,,1,Anime
familie / Mrs.GREEN APPLE,familie,Mrs.GREEN APPLE,,,,,,34.0,,,,,,,,,,1,Movie
シャッター / 優里,シャッター,優里,,,,,,,55.0,,,,,,,,,1,None
シンデレラボーイ / Saucy Dog,シンデレラボーイ,Saucy Dog,,,,,,53.0,,,,,,,,,,1,TVドラマ
スカイレストラン / Hi-Fi SET,スカイレストラン,Hi-Fi SET,,,,,,,,,,,97.0,,,,,1,None
スマイリーを探して / Serani Poji,スマイリーを探して,Serani Poji,,,,,,,,,,,,,,,92.0,1,TV番組
セブンティーン / YOASOBI,セブンティーン,YOASOBI,,,,,,,,,,94.0,,,,,,1,None
タイムパラドックス / Vaundy,タイムパラドックス,Vaundy,,,,,,24.0,,,,,,,,,,1,None
ダーリン / Mrs.GREEN APPLE,ダーリン,Mrs.GREEN APPLE,,,,,,37.0,,,,,,,,,,1,None
チェリー / スピッツ,チェリー,スピッツ,,,,,,100.0,,,,,,,,,,1,None
ナハトムジーク / Mrs.GREEN APPLE,ナハトムジーク,Mrs.GREEN APPLE,,,,,,72.0,,,,,,,,,,1,None
ハッピーエンド / back number,ハッピーエンド,back number,,,,,,66.0,,,,,,,,,,1,None
ハルカミライ / 感覚ピエロ,ハルカミライ,感覚ピエロ,92.0,,,,,,,,,,,,,,,1,Anime
ハルノヒ / あいみょん,ハルノヒ,あいみょん,,,,,,,74.0,,,,,,,,,1,Movie
ハレハレヤ / 羽生まゐご,ハレハレヤ,羽生まゐご,,,,,,,,,,,,,58.0,,,1,None
ヒロイン / back number,ヒロイン,back number,,,,,,77.0,,,,,,,,,,1,TVドラマ
ビターバカンス / Mrs.GREEN APPLE,ビターバカンス,Mrs.GREEN APPLE,,,,,,49.0,,,,,,,,,,1,None
ビリミリオン / 優里,ビリミリオン,優里,,,,,,41.0,,,,,,,,,,1,None
フライデー・ナイト / なとり,フライデー・ナイト,なとり,,,,,,,,,,,,,80.0,,,1,None
フレグランス / 茉ひる & RINZO,フレグランス,茉ひる & RINZO,,,,,,,,,,,,45.0,,,,1,None
ブルーアンビエンス (feat.asmi) / Mrs.GREEN APPLE,ブルーアンビエンス (feat.asmi),Mrs.GREEN APPLE,,,,,,85.0,,,,,,,,,,1,None
メタり!! (feat. Tom Morello) / BABYMETAL,メタり!! (feat. Tom Morello),BABYMETAL,78.0,,,,,,,,,,,,,,,1,None
メフィスト / 女王蜂,メフィスト,女王蜂,,,,93.0,,,,,,,,,,,,1,None
ランデヴー / シャイトープ,ランデヴー,シャイトープ,,,,,,30.0,,,,,,,,,,1,Anime
ラヴァーズ / 7!!,ラヴァーズ,7!!,,,,,95.0,,,,,,,,,,,1,Anime
ルル / Ado,ルル,Ado,,,41.0,,,,,,,,,,,,,1,None
レオ / 優里,レオ,優里,,,,,,,31.0,,,,,,,,,1,None
サムライハート(Some Like It Hot!!) / SPYAIR,サムライハート(Some Like It Hot!!),SPYAIR,,,,,,,12.0,,,,,,,,,1,Anime
サクラミツツキ / SPYAIR,サクラミツツキ,SPYAIR,,,,,,,51.0,,,,,,,,,1,Anime
サクラキミワタシ / tuki.,サクラキミワタシ,tuki.,,,,,,,99.0,,,,,,,,,1,None
アイラブユー / back number,アイラブユー,back number,,,,,,90.0,,,,,,,,,,1,None
memories / 大槻真希,memories,大槻真希,,,,,21.0,,,,,,,,,,,1,Anime
spiral / LONGMAN,spiral,LONGMAN,,,,,,,,,,,,,65.0,,,1,Anime
unravel / Ado,unravel,Ado,,,86.0,,,,,,,,,,,,,1,None
veil / 須田景凪,veil,須田景凪,,,,,,,,,,,,,,,100.0,1,Anime
おつかれSUMMER / HALCALI,おつかれSUMMER,HALCALI,,,,,,,,,,,86.0,,,,,1,TV番組
かわいいだけじゃだめですか? / CUTIE STREET,かわいいだけじゃだめですか?,CUTIE STREET,,,,,,43.0,,,,,,,,,,1,None
なんでもないよ、 / マカロニえんぴつ,なんでもないよ、,マカロニえんぴつ,,,,,,92.0,,,,,,,,,,1,None
ひまわりの約束 / 秦基博,ひまわりの約束,秦基博,,,,,48.0,,,,,,,,,,,1,Movie
ひゅるりらぱっぱ / tuki.,ひゅるりらぱっぱ,tuki.,,,,,,,,,,,,74.0,,,,1,None
へでもねーよ / 藤井風,へでもねーよ,藤井風,,,,,,,,,,,,,96.0,,,1,None
わたしの一番かわいいところ / FRUITS ZIPPER,わたしの一番かわいいところ,FRUITS ZIPPER,,,,,,88.0,,,,,,,,,,1,None
アシタカせっ記 / 久石譲,アシタカせっ記,久石譲,,91.0,,,,,,,,,,,,,,1,Movie
サウダージ / ポルノグラフィティ,サウダージ,ポルノグラフィティ,,,,,,96.0,,,,,,,,,,1,None
アドベンチャー / YOASOBI,アドベンチャー,YOASOBI,,,,,,,,,,87.0,,,,,,1,None
イエスタデイ / Official髭男dism,イエスタデイ,Official髭男dism,,,,,,,89.0,,,,,,,,,1,Movie
エルフ / Ado,エルフ,Ado,,,83.0,,,,,,,,,,,,,1,None
190306-11 / Hideyuki Hashimoto,190306-11,Hideyuki Hashimoto,,,,,,,,,,,98.0,,,,,1,None
ガーデン / 藤井風,ガーデン,藤井風,,,,,,,,,,,,,5.0,,,1,None
ギターと孤独と蒼い惑星 / 結束バンド,ギターと孤独と蒼い惑星,結束バンド,,,,,,,94.0,,,,,,,,,1,Anime
クスシキ / Mrs.GREEN APPLE,クスシキ,Mrs.GREEN APPLE,,,,,,54.0,,,,,,,,,,1,None
クリスマスソング / back number,クリスマスソング,back number,,,,,,68.0,,,,,,,,,,1,None
グッバイバイ / 冨岡愛,グッバイバイ,冨岡愛,,,,,,,43.0,,,,,,,,,1,Movie
ケセラセラ / Mrs.GREEN APPLE,ケセラセラ,Mrs.GREEN APPLE,,,,,,3.0,,,,,,,,,,1,None
コロンブス / Mrs.GREEN APPLE,コロンブス,Mrs.GREEN APPLE,,,,,,44.0,,,,,,,,,,1,None
黄昏のBAY CITY / 八神純子,黄昏のBAY CITY,八神純子,79.0,,,,,,,,,,,,,,,1,None